FITSKeyword	DBKeyword	Source	MetadataDatatype	Units	DBDatatype	MetadataWidth	NullsAllowed	ValidateFormat	CheckValues	InputFormat	OutputFormat	SpecialIngest	MinValue	MaxValue	DiscreteValues	Metadata	UI	Calib	TAP_visible	TAP_principal	Description	Example	Notes
KOAID	KOAID	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s	Y				Y	Y			Y	Unique identifier for each file KP.20170208_00008.fits		
PROPINT	PROPINT	KOA	integer		NUMBER(*,0)	16	N	Y	Y		16d		0			Y	Y				Proprietary period		
KOAIMTYP	KOAIMTYP	KOA	char		VARCHAR2(32 BYTE)	32	N	Y	Y		32s				object, bias, dark, arclamp, flatlamp, undefined	Y	Y			Y	KOA image type	object	
ADCTRACK	ADCTRACK	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Is the ADC Tracking	 	
AGITSTA	AGITSTA	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Agitator status kpfmot.AGITATOR	 	
AIRMASS	AIRMASS	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f					Y					DCS Airmass	 	
AMPSEC	AMPSEC	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										amplifier section	 	
AUTACTIV	AUTACTIV	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N		16s					Y					DCS Guider active	 	
AUTFWHM	AUTFWHM	DCS	double	pixels	FLOAT(126)	16	Y	Y	N		18.5f					Y					[pix] DCS Guider fwhm	 	
AUTXCENT	AUTXCENT	DCS	double	arcseconds	FLOAT(126)	16	Y	Y	N		18.5f					Y					[asec] DCS Guider x centroid	 	
AUTYCENT	AUTYCENT	DCS	double	arcseconds	FLOAT(126)	16	Y	Y	N		18.5f					Y					[asec] DCS Guider y centroid	 	
AXESTAT	AXESTAT	DCS	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										DCS axes control status	 	
AZ	AZ	DCS	double	degrees	FLOAT(126)	16	Y	Y	N		18.5f					Y					[deg] DCS Azimuth	 	
BITPIX	BITPIX	KPF	integer		NUMBER(*,0)	16	Y	Y	N		16d					Y					array data type	 	
CAFBS	CAFBS	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Ca HK fibers (6,7) on	 	
CAL-OBJ	CAL_OBJ	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Calibration fiber source	 	
CALMON	CALMON	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Calibration intensity monitor position	 	
CALOCAL	CALOCAL	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f										collimation-azimuth-local	 	
CAMERAS	CAMERAS	KPF	integer		NUMBER(*,0)	8	Y	Y	N		16d										Detectors in assembly request	 	
CAREQ	CAREQ	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Ca HK fibers (6,7) requested	 	
CA_HK	CA_HK	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Was this camera found?	 	
CCDGAIN	CCDGAIN	KPF	double	e/Dn	FLOAT(126)	16	Y	Y	N		18.5f					Y					Current measured amplifier gain in e-/DN Abby S	 	
CELOCAL	CELOCAL	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f										collimation-elevation-local	 	
CURRINST	CURRINST	DCS	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					Selected instrument	 	
DATALVL	DATALVL	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Data Product Base Level	 	
DATE	DATE_UT	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s	Y				Y					End of exposure from kpfexpose.ENDTIME	 	
DATE-BEG	DATE_BEG	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s	Y				Y					Start of exposure from kpfexpose	 	
DATE-END	DATE_END	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s	Y				Y					End of exposure from kpfexpose.ENDTIME	 	
DATE-MID	DATE_MID	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										Halfway point of the exposure, unweighted	 	
DATE-OBS	DATE_OBS	DCS	char		DATE	32	N	Y	Y	date	32s	Y				Y	Y			Y	Date dcs1.DATE	 	
DATLEVEL	DATLEVEL	KPF	integer		NUMBER(*,0)	8	Y	Y	N		16d										KOA: Data reduction level	 	
DDEC	DDEC	DCS	double	arcseconds/s	FLOAT(126)	16	Y	Y	N		18.5f					Y					[asec/s] DCS Diff Dec rate	 	
DEC	CDEC	DCS	char		VARCHAR2(16 BYTE)	16	Y	Y	N	angle	16s	Y				Y					[deg] Declination	 	
DECBASE	DECBASE	DCS	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										DCS Dec base	 	
DECOFF	DECOFF	DCS	double	arcseconds	FLOAT(126)	16	Y	Y	N		18.5f					Y					[asec] DCS Dec offset	 	
DIFFPTDW	DIFFPTDW	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f										[decC] Diff between pri mirro temp dewpt	 	
DIFFSTDW	DIFFSTDW	DCS	double		FLOAT(126)	16	Y	Y	N		18.5f										[decC] Diff between sec mirro temp dewpt	 	
DOMEPOSN	DOMEPOSN	DCS	double	degrees	FLOAT(126)	16	Y	Y	N		18.5f					Y					DCS Dome user position	 	
DOMESTST	DOMESTST	DCS	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s					Y					DCS Dome status string	 	
DQA_DATE	DQA_DATE	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										KOA: Data quality assess time	 	
DQA_VERS	DQA_VERS	KPF	char		VARCHAR2(32 BYTE)	32	Y	Y	N		32s										KOA: Data quality assess code version	 	
